Domain,,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Number,Domain,Datastructure,Looked at?,Algorithm Description,Algorithm Name,Year,Paper/Reference Link,Original paper?,Comments/Distinguishing Features,Wikipedia article namespace (if it exists and isn't in an earlier row),Authors,Constants,Constants Reference,Space,Space Class,Space Reference,Space Units,Model of Computation,Parameters,Prefered Parameter,Build (Time),Build Runtime Class,"Build Notes (constants, amortized?, randomized?, etc.)",Build Time Reference,Insert (Time),Insert Runtime Class,"Insert Notes (constants, amortized?, randomized?, etc.)",Insert Time Reference,Delete (Time),Delete Runtime Class,"Delete Notes (constants, amortized?, randomized?, etc.)",Delete Time Reference,Find (Time),Find Runtime Class,"Find Notes (constants, amortized?, randomized?, etc.)",Find Reference,Successor/Predecessor (Time),Successor/Predecessor Runtime Class,"Successor/Predecessor Notes (constants, amortized?, randomized?, etc.)",Successor/Predecessor Time Reference,Union (Time),Union Runtime Class,"Union Notes (constants, amortized?, randomized?, etc.)",Union Reference,Min/Max (Time),Min/Max Runtime Class,"Min/Max Notes (constants, amortized?, randomized?, etc.)",Max Reference,Increase-Key/Update (Time),Increase-Key/Update Runtime Class,"Increase-Key/Update Notes (constants, amortized?, randomized?, etc.)",Increase-Key/Update Reference,Push (Time),Push Runtime Class,"Push Notes (constants, amortized?, randomized?, etc.)",Push Reference,Pop Most Recent (Time),Pop Most Recent Runtime Class,"Pop Most Recent Notes (constants, amortized?, randomized?, etc.)",Pop Most Recent Reference,Pop Oldest (Time),Pop Oldest Runtime Class,"Pop Oldest Notes (constants, amortized?, randomized?, etc.)",Pop Oldest Reference,Nearest Neighbor (Time),Nearest Neighbor Runtime Class,"Nearest Neighbor Notes (constants, amortized?, randomized?, etc.)",Nearest Neighbor Reference,Range Search (Time),Range Search Runtime Class,"Range Search Notes (constants, amortized?, randomized?, etc.)",Range Search Reference,Query (Time),Query Runtime Class,"Query Notes (constants, amortized?, randomized?, etc.)",Query Reference,Improvement,Tradeoff
Priority Queue,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,82,,Priority Queue,Binary Heap,1.0,Heap (assume this is a max heap),,1964,https://dl.acm.org/doi/10.1145/512274.512284,yes,,Binary_heap,Forsythe,,,O(n),6.0,[CLRS],words,Word RAM,n: number of elements,n,O(n),6.0,,https://www.deepdyve.com/lp/ios-press/elementary-yet-precise-worst-case-analysis-of-floyd-s-heap-50NW30HMxU,O(lg n),3.0,,https://lusy.fri.uni-lj.si/sites/lusy.fri.uni-lj.si/files/publications/jekovec2012-tr01.pdf,O(lg n),3.0,,https://www.sciencedirect.com/science/article/pii/0020019075900010?via%3Dihub,,,,,,,,,O(n),6.0,,https://xlinux.nist.gov/dads/HTML/binaryheap.html,O(1),1.0,only max; also kept track of in the root,,O(lg n),3.0,,https://lusy.fri.uni-lj.si/sites/lusy.fri.uni-lj.si/files/publications/jekovec2012-tr01.pdf,,,,,,,,,,,,,,,,,,,,,,,,,1,0
Priority Queue,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,84,,Priority Queue,Height-biased Leftist Heap,1.0,Heap (assume this is a max heap),,1972,https://www.proquest.com/docview/288011272,yes,,Leftist_tree,Crane,,,O(n),6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""union"" runtime (as recursion is T(n)=2T(n/2)+O(lg n))",,O(lg n),3.0,,https://www.proquest.com/docview/288011272,O(lg n),3.0,,https://www.proquest.com/docview/288011272,,,,,,,,,O(lg n),3.0,,https://www.proquest.com/docview/288011272,O(1),1.0,only max,,O(lg n),3.0,(delete followed by insert?),,,,,,,,,,,,,,,,,,,,,,,,,,1,0
Priority Queue,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,83,,Priority Queue,d-ary Heap,1.0,Heap (assume this is a max heap),,1975,https://www.sciencedirect.com/science/article/pii/0020019075900010?via%3Dihub,yes,,D-ary_heap,Johnson,,,O(n),6.0,,words,Word RAM,"n: number of elements
d: max number of children per node",n,O((n lg n)/(lg d))?,7.0,,,O((lg n)/(lg d)),3.0,,https://www.sciencedirect.com/science/article/pii/0020019075900010?via%3Dihub,O((d lg n)/(lg d)),3.0,,https://www.sciencedirect.com/science/article/pii/0020019075900010?via%3Dihub,,,,,,,,,O(n)?,6.0,,,O(1),1.0,only max,,O((lg n)/(lg d)),3.0,,https://www.sciencedirect.com/science/article/pii/0020019075900010?via%3Dihub,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,86,,Priority Queue,Binomial Heap,1.0,Heap (assume this is a max heap),,1978,https://dl.acm.org/doi/10.1145/359460.359478,yes,,Binomial_heap,Vuillemin,,,O(n),6.0,https://dl.acm.org/doi/pdf/10.1145/359460.359478,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""union"" runtime (as recursion is T(n)=2T(n/2)+O(lg n))",,O(1),1.0,amortized,https://epubs.siam.org/doi/epdf/10.1137/0207026,O(lg n),3.0,,[CLRS],,,,,,,,,O(lg n),3.0,,https://epubs.siam.org/doi/epdf/10.1137/0207026,O(1),1.0,only max,,O(lg n),3.0,,https://epubs.siam.org/doi/epdf/10.1137/0207026,,,,,,,,,,,,,,,,,,,,,,,,,1,0
Priority Queue,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,109,,Priority Queue,Beap,1.0,Heap (assume this is a max heap),,1980,https://www.sciencedirect.com/science/article/pii/0022000080900379,yes,implicit and searchable,Beap,"Munro, Suwanda",,,n + O(1),6.0,,words,Word RAM,n: number of elements,n,O(n lg n),7.0,,https://www.sciencedirect.com/science/article/pii/0022000080900379,O(sqrt(n)),5.0,constant of around 3sqrt(2),https://www.sciencedirect.com/science/article/pii/0022000080900379,O(sqrt(n)),5.0,constant of around 3sqrt(2),https://www.sciencedirect.com/science/article/pii/0022000080900379,O(sqrt(n)),5.0,constant of around 2sqrt(2),https://www.sciencedirect.com/science/article/pii/0022000080900379,,,,,O(n lg n)?,7.0,(best seems be to recreate the heap),,O(1),1.0,only max,https://www.sciencedirect.com/science/article/pii/0022000080900379,O(sqrt(n))?,5.0,delete + insert,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,120,,Priority Queue,Leonardo Heap,1.0,Heap (assume this is a max heap),,1981,https://www.cs.utexas.edu/users/EWD/ewd07xx/EWD796a.PDF,yes,,Smoothsort,Dijkstra,,,O(n),6.0,(implicit),words,Word RAM,n: number of elements,n,O(n)?,6.0,,,O(lg n),3.0,,https://www.bowd.io/leonardo-heaps/,O(lg n),3.0,,https://www.bowd.io/leonardo-heaps/,,,,,,,,,O(n lg n)?,7.0,based on insert runtime,,O(1),1.0,only max; also kept track of somewhere in the DS,,O(lg n),3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,90,,Priority Queue,Pairing Heap,1.0,Heap (assume this is a max heap),,1986,https://www.cs.cmu.edu/~sleator/papers/pairing-heaps.pdf,yes,multiway; exact analysis still unknown,Pairing_heap,"Fredman, Sedgewick, Sleator, Tarjan",,,O(n),6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""union"" runtime (as recursion is T(n)=2T(n/2)+O(lg n))",,O(2^(2*sqrt(lg lg n))),2.95,amortized,http://web.eecs.umich.edu/~pettie/papers/focs05.pdf,O(lg n),3.0,amortized,https://www.cs.cmu.edu/~sleator/papers/pairing-heaps.pdf,,,,,,,,,O(2^(2*sqrt(lg lg n))),2.95,amortized,http://web.eecs.umich.edu/~pettie/papers/focs05.pdf,O(1),1.0,only max,https://www.cs.cmu.edu/~sleator/papers/pairing-heaps.pdf,O(2^(2*sqrt(lg lg n))),2.95,amortized,http://web.eecs.umich.edu/~pettie/papers/focs05.pdf,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Priority Queue,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,102,,Priority Queue,Top-Down Skew Heap,1.0,Heap (assume this is a max heap),,1986,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,yes,,Skew_heap,"Sleator, Tarjan",,,O(n)?,6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""union"" runtime (as recursion is T(n)=2T(n/2)+O(lg n))",,O(lg n),3.0,amortized,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,O(lg n),3.0,amortized,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,,,,,,,,,O(lg n),3.0,amortized,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,O(1),1.0,only max,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,O(lg n)?,3.0,amortized; can be achieved via delete followed by insert,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Priority Queue,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,103,,Priority Queue,Bottom-Up Skew Heap,1.0,Heap (assume this is a max heap),,1986,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,yes,,,"Sleator, Tarjan",,,O(n)?,6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""insert"" runtime",,O(1),1.0,amortized,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,O(lg n),3.0,amortized,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,,,,,,,,,O(1),1.0,amortized,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,O(1),1.0,only max,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,O(lg n)?,3.0,amortized; can be achieved via delete followed by insert,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Priority Queue,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,87,,Priority Queue,Fibonacci Heap,1.0,Heap (assume this is a max heap),,1987,https://dl.acm.org/doi/10.1145/28869.28874,yes,,Fibonacci_heap,"Fredman, Tarjan",,,O(n),6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""insert"" runtime",,O(1),1.0,amortized,https://dl.acm.org/doi/10.1145/28869.28874,O(lg n),3.0,"amortized; for non-max, assumes position is known",https://dl.acm.org/doi/10.1145/28869.28874,,,,,,,,,O(1),1.0,amortized,https://dl.acm.org/doi/10.1145/28869.28874,O(1),1.0,only max,https://dl.acm.org/doi/10.1145/28869.28874,O(1),1.0,amortized,https://dl.acm.org/doi/10.1145/28869.28874,,,,,,,,,,,,,,,,,,,,,,,,,1,0
Priority Queue,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,88,,Priority Queue,Rank-Relaxed Heap,1.0,Heap (assume this is a max heap),,1988,https://dl.acm.org/doi/pdf/10.1145/50087.50096,yes,parallelizable,,"Driscoll, Gabow, Shrairman, Tarjan",,,O(n),6.0,https://dl.acm.org/doi/pdf/10.1145/50087.50096,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""insert"" runtime",,O(1),1.0,"amortized (based on ""decrease key"" runtime)",https://dl.acm.org/doi/pdf/10.1145/50087.50096,O(lg n),3.0,amortized,https://dl.acm.org/doi/pdf/10.1145/50087.50096,,,,,,,,,O(1),1.0,amortized,https://dl.acm.org/doi/pdf/10.1145/50087.50096,O(lg n),3.0,only max,https://dl.acm.org/doi/pdf/10.1145/50087.50096,O(1),1.0,amortized,https://dl.acm.org/doi/pdf/10.1145/50087.50096,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,89,,Priority Queue,Run-Relaxed Heap,1.0,Heap (assume this is a max heap),,1988,https://dl.acm.org/doi/pdf/10.1145/50087.50096,yes,"parallelizable, non-amortized (besides possibly union)",,"Driscoll, Gabow, Shrairman, Tarjan",,,O(n),6.0,https://dl.acm.org/doi/pdf/10.1145/50087.50096,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""insert"" runtime",,O(1),1.0,"based on ""decrease key"" runtime",https://dl.acm.org/doi/pdf/10.1145/50087.50096,O(lg n),3.0,,https://dl.acm.org/doi/pdf/10.1145/50087.50096,,,,,,,,,O(lg n)?,3.0,amortized,https://dl.acm.org/doi/pdf/10.1145/50087.50096,O(lg n),3.0,only max,https://dl.acm.org/doi/pdf/10.1145/50087.50096,O(1),1.0,,https://dl.acm.org/doi/pdf/10.1145/50087.50096,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,104,,Priority Queue,Weak Heap,1.0,Heap (assume this is a max heap),,1993,https://link.springer.com/article/10.1007/BF01990520,yes,,Weak_heap,Dutton,,,O(n),6.0,https://link.springer.com/article/10.1007/BF01990520,words,Word RAM,n: number of elements,n,O(n),6.0,"(essentially n-1 ""Union""s)",https://link.springer.com/article/10.1007/BF01990520,O(lg n),3.0,,https://web.archive.org/web/20170811001458/http://www.cphstl.dk/Paper/Policy-based-benchmarking/policy.pdf,O(lg n),3.0,,https://web.archive.org/web/20170811001458/http://www.cphstl.dk/Paper/Policy-based-benchmarking/policy.pdf,,,,,,,,,O(1),1.0,,https://link.springer.com/article/10.1007/BF01990520,O(1),1.0,only max; also kept track of in the root,https://link.springer.com/article/10.1007/BF01990520,O(lg n),3.0,,https://web.archive.org/web/20170811001458/http://www.cphstl.dk/Paper/Policy-based-benchmarking/policy.pdf,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,111,,Priority Queue,K-D heap,1.0,Heap (assume this is a max heap),,1993,https://link.springer.com/chapter/10.1007/3-540-57155-8_257,yes,multidimensional heap,K-D_heap,"Ding, Weiss",,,O_k(n),6.0,,words,Word RAM,"n: number of elements
k: number of keys/dimensions; typically treated as constant (but dependence is exponential)",n,O_k(n),6.0,,https://link.springer.com/chapter/10.1007/3-540-57155-8_257,O_k(lg n),3.0,,https://link.springer.com/chapter/10.1007/3-540-57155-8_257,O_k(lg n),3.0,"arbitrary item (though needs increase-key for non-max element), in any of the k keys",https://link.springer.com/chapter/10.1007/3-540-57155-8_257,,,,,,,,,O_k(lg n),3.0,,https://link.springer.com/chapter/10.1007/3-540-57155-8_257,O_k(1),1.0,"only max, in any of the k keys",https://link.springer.com/chapter/10.1007/3-540-57155-8_257,O_k(lg n),3.0,in any of the k keys,https://link.springer.com/chapter/10.1007/3-540-57155-8_257,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,115,,Priority Queue,Red-Black Priority Queue,1.0,Heap (assume this is a max heap),,1995,https://ieeexplore.ieee.org/document/377045,yes,,,Hoyer,,,O(n),6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,,https://ieeexplore.ieee.org/document/377045,O(1),1.0,,https://ieeexplore.ieee.org/document/377045,O(lg n),3.0,,https://ieeexplore.ieee.org/document/377045,,,,,,,,,O(1),1.0,amortized; worst-case is O(lg n),https://ieeexplore.ieee.org/document/377045,O(1),1.0,only max,https://ieeexplore.ieee.org/document/377045,O(1),1.0,amortized; worst-case is O(lg n),https://ieeexplore.ieee.org/document/377045,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,116,,Priority Queue,One-Step Priority Queue,1.0,Heap (assume this is a max heap),,1995,https://ieeexplore.ieee.org/document/377045,yes,,,Hoyer,,,O(n),6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,,https://ieeexplore.ieee.org/document/377045,O(1),1.0,,https://ieeexplore.ieee.org/document/377045,O(lg n),3.0,,https://ieeexplore.ieee.org/document/377045,,,,,,,,,O(1),1.0,amortized; worst-case is O(lg n),https://ieeexplore.ieee.org/document/377045,O(1),1.0,only max,https://ieeexplore.ieee.org/document/377045,O(1),1.0,amortized; worst-case is O(lg n),https://ieeexplore.ieee.org/document/377045,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,117,,Priority Queue,AVL Priority Queue,1.0,Heap (assume this is a max heap),,1995,https://ieeexplore.ieee.org/document/377045,yes,,,Hoyer,,,O(n),6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,,https://ieeexplore.ieee.org/document/377045,O(1),1.0,,https://ieeexplore.ieee.org/document/377045,O(lg n),3.0,,https://ieeexplore.ieee.org/document/377045,,,,,,,,,O(1),1.0,amortized; worst-case is O(lg n),https://ieeexplore.ieee.org/document/377045,O(1),1.0,only max,https://ieeexplore.ieee.org/document/377045,O(1),1.0,amortized; worst-case is O(lg n),https://ieeexplore.ieee.org/document/377045,,,,,,,,,,,,,,,,,,,,,,,,,0,0
